지점번호,지점명,일시,평균습도(%rh),최저습도(%rh)
108,서울,2017-10-16,47.6,25
108,서울,2017-10-17,47.1,26
108,서울,2017-10-18,58.8,43
108,서울,2017-10-19,58.3,32
108,서울,2017-10-20,58.6,30
108,서울,2017-10-21,52.8,25
108,서울,2017-10-22,50.4,33
108,서울,2017-10-23,47,30
108,서울,2017-10-24,54.3,30
108,서울,2017-10-25,59,26
108,서울,2017-10-26,56.5,31
108,서울,2017-10-27,54.4,32
108,서울,2017-10-28,51.9,29
108,서울,2017-10-29,45.6,25
108,서울,2017-10-30,27.4,16
108,서울,2017-10-31,54.3,32
108,서울,2017-11-01,72.4,51
108,서울,2017-11-02,78.8,62
108,서울,2017-11-03,66,41
108,서울,2017-11-04,47.9,30
108,서울,2017-11-05,52.5,35
108,서울,2017-11-06,64.5,41
108,서울,2017-11-07,61.4,42
108,서울,2017-11-08,53.3,19
108,서울,2017-11-09,39.6,18
108,서울,2017-11-10,56.3,38
108,서울,2017-11-11,42.9,29
108,서울,2017-11-12,57.1,34
108,서울,2017-11-13,64.4,44
108,서울,2017-11-14,42.5,25
108,서울,2017-11-15,38.3,26
108,서울,2017-11-16,30.3,15
108,서울,2017-11-17,39.4,25
108,서울,2017-11-18,38.5,18
108,서울,2017-11-19,37.8,20
108,서울,2017-11-20,55.3,29
108,서울,2017-11-21,55.6,29
108,서울,2017-11-22,54.8,33
108,서울,2017-11-23,49.3,34
108,서울,2017-11-24,62.5,30
108,서울,2017-11-25,77.6,51
108,서울,2017-11-26,71.6,37
108,서울,2017-11-27,53,32
108,서울,2017-11-28,64.1,39
108,서울,2017-11-29,48.3,25
108,서울,2017-11-30,26.8,13
108,서울,2017-12-01,49.4,21
108,서울,2017-12-02,59.9,34
108,서울,2017-12-03,83.1,57
108,서울,2017-12-04,48.1,22
108,서울,2017-12-05,40.1,24
108,서울,2017-12-06,72.6,28
108,서울,2017-12-07,64.5,32
108,서울,2017-12-08,41.3,24
108,서울,2017-12-09,46.1,29
108,서울,2017-12-10,67.9,39
108,서울,2017-12-11,40.5,29
108,서울,2017-12-12,41.9,27
108,서울,2017-12-13,42,24
108,서울,2017-12-14,42.9,28
108,서울,2017-12-15,52.6,34
108,서울,2017-12-16,43.1,21
108,서울,2017-12-17,38.1,23
108,서울,2017-12-18,80,47
108,서울,2017-12-19,49.4,22
108,서울,2017-12-20,68,41
108,서울,2017-12-21,71.4,36
108,서울,2017-12-22,66.6,53
108,서울,2017-12-23,75.8,62
108,서울,2017-12-24,82,62
108,서울,2017-12-25,43.1,26
108,서울,2017-12-26,41.8,14
108,서울,2017-12-27,31.4,16
108,서울,2017-12-28,47,21
108,서울,2017-12-29,67,51
108,서울,2017-12-30,79.5,59
108,서울,2017-12-31,54.4,22
108,서울,2018-01-01,39.1,19
108,서울,2018-01-02,42,19
108,서울,2018-01-03,42.3,28
108,서울,2018-01-04,43,31
108,서울,2018-01-05,48.4,32
108,서울,2018-01-06,45.8,26
108,서울,2018-01-07,42.1,30
108,서울,2018-01-08,51.9,30
108,서울,2018-01-09,59.4,43
108,서울,2018-01-10,52,29
108,서울,2018-01-11,49.8,37
108,서울,2018-01-12,35.4,20
108,서울,2018-01-13,67.3,39
108,서울,2018-01-14,64.1,48
108,서울,2018-01-15,63.9,33
108,서울,2018-01-16,59.1,35
108,서울,2018-01-17,64.1,49
108,서울,2018-01-18,59.6,33
108,서울,2018-01-19,43,20
108,서울,2018-01-20,57.6,42
108,서울,2018-01-21,36.6,16
108,서울,2018-01-22,56.5,25
108,서울,2018-01-23,42,24
108,서울,2018-01-24,31.6,23
108,서울,2018-01-25,32.6,22
108,서울,2018-01-26,34.9,26
108,서울,2018-01-27,37.4,23
108,서울,2018-01-28,36,19
108,서울,2018-01-29,35,21
108,서울,2018-01-30,62,26
108,서울,2018-01-31,54.5,29
108,서울,2018-02-01,44.1,22
108,서울,2018-02-02,51.1,24
108,서울,2018-02-03,47,29
108,서울,2018-02-04,40.9,26
108,서울,2018-02-05,37.8,23
108,서울,2018-02-06,36.5,23
108,서울,2018-02-07,39.8,17
108,서울,2018-02-08,43.3,23
108,서울,2018-02-09,43.9,23
108,서울,2018-02-10,47.4,13
108,서울,2018-02-11,42.5,20
108,서울,2018-02-12,40.8,23
108,서울,2018-02-13,54.5,37
108,서울,2018-02-14,51,27
108,서울,2018-02-15,28,14
108,서울,2018-02-16,40.1,15
108,서울,2018-02-17,25.6,14
108,서울,2018-02-18,26.9,15
108,서울,2018-02-19,48.6,33
108,서울,2018-02-20,41,17
108,서울,2018-02-21,31.5,13
108,서울,2018-02-22,59,41
108,서울,2018-02-23,81.1,52
108,서울,2018-02-24,49.4,17
108,서울,2018-02-25,40.6,16
108,서울,2018-02-26,43.1,23
108,서울,2018-02-27,48.8,36
108,서울,2018-02-28,73.3,47
108,서울,2018-03-01,61.9,33
108,서울,2018-03-02,34,18
108,서울,2018-03-03,38.1,13
108,서울,2018-03-04,89.1,79
108,서울,2018-03-05,67.5,37
108,서울,2018-03-06,46.8,24
108,서울,2018-03-07,54,34
108,서울,2018-03-08,76,50
108,서울,2018-03-09,63.3,37
